     ,subject,trial,fix_num,event_duration,leftrating,rightrating,rt     ,choice,roi,computed_rt,num_fixations,rev_fix_num,temp     ,corr_fix_duration
1588 ,17.0   ,75   ,2.0    ,358.0         ,0.0       ,0.0        ,1291.0 ,0.0   ,2.0,1296.0     ,3.0          ,2.0        ,545.48456,358.0            
1589 ,17.0   ,75   ,3.0    ,519.0         ,0.0       ,0.0        ,1291.0 ,0.0   ,1.0,1296.0     ,3.0          ,1.0        ,308.0    ,519.0            
1590 ,17.0   ,76   ,1.0    ,599.0         ,3.0       ,2.0        ,792.0  ,1.0   ,1.0,816.0      ,1.0          ,1.0        ,373.38   ,599.0            
1591 ,17.0   ,77   ,1.0    ,220.0         ,2.0       ,5.0        ,1666.0 ,0.0   ,1.0,1674.0     ,4.0          ,4.0        ,373.38   ,220.0            
1592 ,17.0   ,77   ,2.0    ,598.0         ,2.0       ,5.0        ,1666.0 ,0.0   ,2.0,1674.0     ,4.0          ,3.0        ,545.48456,598.0            
1593 ,17.0   ,77   ,3.0    ,597.0         ,2.0       ,5.0        ,1666.0 ,0.0   ,1.0,1674.0     ,4.0          ,2.0        ,308.0    ,597.0            
1594 ,17.0   ,77   ,4.0    ,60.0          ,2.0       ,5.0        ,1666.0 ,0.0   ,2.0,1674.0     ,4.0          ,1.0        ,124.75   ,60.0             
1595 ,17.0   ,78   ,1.0    ,260.0         ,3.0       ,2.0        ,874.0  ,1.0   ,1.0,898.0      ,2.0          ,2.0        ,373.38   ,260.0            
1596 ,17.0   ,78   ,2.0    ,421.0         ,3.0       ,2.0        ,874.0  ,1.0   ,2.0,898.0      ,2.0          ,1.0        ,545.48456,421.0            
1597 ,17.0   ,79   ,1.0    ,219.0         ,2.0       ,2.0        ,778.0  ,1.0   ,1.0,776.0      ,2.0          ,2.0        ,373.38   ,219.0            
1598 ,17.0   ,79   ,2.0    ,338.0         ,2.0       ,2.0        ,778.0  ,1.0   ,2.0,776.0      ,2.0          ,1.0        ,545.48456,338.0            
1599 ,17.0   ,80   ,1.0    ,578.0         ,4.0       ,2.0        ,1435.0 ,1.0   ,1.0,1455.0     ,2.0          ,2.0        ,373.38   ,578.0            
1600 ,17.0   ,80   ,2.0    ,678.0         ,4.0       ,2.0        ,1435.0 ,1.0   ,2.0,1455.0     ,2.0          ,1.0        ,545.48456,678.0            
1601 ,17.0   ,81   ,1.0    ,199.0         ,3.0       ,5.0        ,1401.0 ,0.0   ,1.0,1414.0     ,3.0          ,3.0        ,373.38   ,199.0            
1602 ,17.0   ,81   ,2.0    ,857.0         ,3.0       ,5.0        ,1401.0 ,0.0   ,2.0,1414.0     ,3.0          ,2.0        ,545.48456,857.0            
